Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,xG,npxG,xAG,source_file
1,Adnane Abid,be BEL,"MF,FW",Standard Liège,21,2003,23.4,2,22,11,50.0,0.94,0.47,0.09,0.18,0,0,Matches,0.0,0.0,0.0,belgian_pro_league_shooting_clean.csv
2,Orseer Achihi,ng NGA,FW,Antwerp,18,2006,0.2,0,0,0,,0.0,0.0,,,0,0,Matches,0.0,0.0,0.0,belgian_pro_league_shooting_clean.csv
3,Desmond Acquah,be BEL,"MF,FW",Dender,23,2002,2.7,0,7,1,14.3,2.59,0.37,0.0,0.0,0,0,Matches,0.0,0.0,0.0,belgian_pro_league_shooting_clean.csv
4,Noah Adedeji,be BEL,MF,Genk,20,2005,11.4,1,22,4,18.2,1.93,0.35,0.05,0.25,0,0,Matches,0.0,0.0,0.0,belgian_pro_league_shooting_clean.csv
5,Farouck Adekami,ci CIV,"MF,FW",Antwerp,18,2006,12.6,2,35,16,45.7,2.77,1.27,0.06,0.13,0,1,Matches,0.0,0.0,0.0,belgian_pro_league_shooting_clean.csv
6,Oluwaseun Adewumi,at AUT,"FW,MF",Cercle Brugge,20,2005,17.7,5,57,24,42.1,3.22,1.36,0.09,0.21,0,0,Matches,0.0,0.0,0.0,belgian_pro_league_shooting_clean.csv
7,Ryan Adewusi,be BEL,FW,Dender,20,2005,0.3,0,0,0,,0.0,0.0,,,0,0,Matches,0.0,0.0,0.0,belgian_pro_league_shooting_clean.csv
8,Mohammed El Âdfaoui,be BEL,MF,Gent,17,2008,0.8,0,2,0,0.0,2.65,0.0,0.0,,0,0,Matches,0.0,0.0,0.0,belgian_pro_league_shooting_clean.csv
9,Jerry Afriyie,gh GHA,FW,La Louvière,18,2006,27.6,5,51,21,41.2,1.85,0.76,0.1,0.24,0,0,Matches,0.0,0.0,0.0,belgian_pro_league_shooting_clean.csv
10,Lawrence Agyekum,gh GHA,MF,Cercle Brugge,21,2003,20.9,0,25,5,20.0,1.2,0.24,0.0,0.0,0,0,Matches,0.0,0.0,0.0,belgian_pro_league_shooting_clean.csv
11,Jules Ahoka,cd COD,DF,Antwerp,19,2006,1.1,0,1,0,0.0,0.91,0.0,0.0,,0,0,Matches,0.0,0.0,0.0,belgian_pro_league_shooting_clean.csv
12,Marley Aké,fr FRA,"MF,FW",Zulte Waregem,24,2001,19.4,8,48,17,35.4,2.47,0.87,0.17,0.47,0,0,Matches,0.0,0.0,0.0,belgian_pro_league_shooting_clean.csv
13,Takahiro Akimoto,jp JPN,"DF,MF",OH Leuven,27,1998,30.1,0,20,6,30.0,0.66,0.2,0.0,0.0,0,0,Matches,0.0,0.0,0.0,belgian_pro_league_shooting_clean.csv
14,Josimar Alcocer,cr CRC,MF,Westerlo,21,2004,30.0,3,53,24,45.3,1.76,0.8,0.06,0.13,0,0,Matches,0.0,0.0,0.0,belgian_pro_league_shooting_clean.csv
15,Mathys Angély,fr FRA,DF,Anderlecht,18,2007,3.1,0,1,0,0.0,0.32,0.0,0.0,,0,0,Matches,0.0,0.0,0.0,belgian_pro_league_shooting_clean.csv
16,Nilson Angulo,ec ECU,MF,Anderlecht,22,2003,21.0,6,33,16,48.5,1.57,0.76,0.18,0.38,0,0,Matches,0.0,0.0,0.0,belgian_pro_league_shooting_clean.csv
17,Bill Antonio,zw ZIM,"MF,DF",Mechelen,22,2002,13.1,1,15,4,26.7,1.15,0.31,0.07,0.25,0,0,Matches,0.0,0.0,0.0,belgian_pro_league_shooting_clean.csv
