	Playing Time	Performance	Per 90 Minutes	
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
1	Lucas Abascia	ar ARG	DF	Querétaro	29	1995	16	16	1,440	16.0	0	0	0	0	0	0	6	0	0.00	0.00	0.00	0.00	0.00	Matches
2	José Abella	mx MEX	DF	Santos Laguna	31	1994	27	23	1,804	20.0	0	5	5	0	0	0	3	1	0.00	0.25	0.25	0.00	0.25	Matches
3	Diego Abreu	uy URU	FW	Tijuana	21	2003	12	4	425	4.7	3	1	4	2	1	1	0	0	0.64	0.21	0.85	0.42	0.64	Matches
4	Carlos Acevedo	mx MEX	GK	Santos Laguna	29	1996	32	32	2,859	31.8	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
5	Alonso Aceves	mx MEX	DF	Pachuca	24	2001	15	15	1,288	14.3	1	2	3	1	0	0	2	1	0.07	0.14	0.21	0.07	0.21	Matches
6	Alonso Aceves	mx MEX	DF	Monterrey	24	2001	12	8	799	8.9	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
7	Sebastián Aceves	mx MEX	DF	Toluca	19	2005	3	3	219	2.4	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
8	Gilberto Adame	mx MEX	MF	Mazatlán	20	2004	1	0	16	0.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
9	Sergio Aguayo	us USA	FW	Guadalajara	22	2002	1	0	9	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
10	Eduardo Águila	mx MEX	DF	Atlético San Luis	23	2002	29	27	2,461	27.3	2	0	2	2	0	0	2	2	0.07	0.00	0.07	0.07	0.07	Matches
11	Daniel Aguirre	us USA	DF	Guadalajara	26	1999	26	22	1,888	21.0	4	3	7	4	0	0	9	0	0.19	0.14	0.33	0.19	0.33	Matches
12	Eduardo Aguirre	mx MEX	FW,MF	Atlas	26	1998	28	15	1,396	15.5	2	2	4	1	1	1	3	0	0.13	0.13	0.26	0.06	0.19	Matches
