	Standard	
Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
1	Lucas Abascia	ar ARG	DF	Querétaro	29	1995	16.0	0	5	1	20.0	0.31	0.06	0.00	0.00	0	0	Matches
2	José Abella	mx MEX	DF	Santos Laguna	31	1994	20.0	0	10	3	30.0	0.50	0.15	0.00	0.00	0	0	Matches
3	Diego Abreu	uy URU	FW	Tijuana	21	2003	4.7	3	13	5	38.5	2.75	1.06	0.15	0.40	1	1	Matches
4	Carlos Acevedo	mx MEX	GK	Santos Laguna	29	1996	31.8	0	1	0	0.0	0.03	0.00	0.00		0	0	Matches
5	Alonso Aceves	mx MEX	DF	Pachuca	24	2001	14.3	1	20	5	25.0	1.40	0.35	0.05	0.20	0	0	Matches
6	Alonso Aceves	mx MEX	DF	Monterrey	24	2001	8.9	0	3	0	0.0	0.34	0.00	0.00		0	0	Matches
7	Sebastián Aceves	mx MEX	DF	Toluca	19	2005	2.4	0	0	0		0.00	0.00			0	0	Matches
8	Gilberto Adame	mx MEX	MF	Mazatlán	20	2004	0.2	0	0	0		0.00	0.00			0	0	Matches
9	Sergio Aguayo	us USA	FW	Guadalajara	22	2002	0.1	0	0	0		0.00	0.00			0	0	Matches
10	Eduardo Águila	mx MEX	DF	Atlético San Luis	23	2002	27.3	2	22	5	22.7	0.80	0.18	0.09	0.40	0	0	Matches
11	Daniel Aguirre	us USA	DF	Guadalajara	26	1999	21.0	4	22	9	40.9	1.05	0.43	0.18	0.44	0	0	Matches
12	Eduardo Aguirre	mx MEX	FW,MF	Atlas	26	1998	15.5	2	24	6	25.0	1.55	0.39	0.04	0.17	1	1	Matches
13	Érick Aguirre	mx MEX	DF,MF	Monterrey	28	1997	7.5	0	5	2	40.0	0.67	0.27	0.00	0.00	0	0	Matches
14	Gaddi Aguirre	mx MEX	DF	Atlas	29	1996	29.9	1	15	1	6.7	0.50	0.03	0.07	1.00	0	0	Matches
15	Rodrigo Aguirre	uy URU	FW	UANL	30	1994	8.4	1	13	5	38.5	1.55	0.60	0.08	0.20	0	0	Matches
16	Rodrigo Aguirre	uy URU	FW	América	30	1994	11.1	4	37	13	35.1	3.34	1.17	0.11	0.31	0	0	Matches
17	Jorge Agustín Rodríguez	ar ARG	MF	Monterrey	29	1995	19.1	1	15	4	26.7	0.79	0.21	0.07	0.25	0	0	Matches
18	Jesús Alberto Angulo	mx MEX	DF	UANL	27	1998	15.3	1	4	1	25.0	0.26	0.07	0.25	1.00	0	0	Matches
19	Jesús Alcantar	mx MEX	DF	Necaxa	22	2003	1.7	0	0	0		0.00	0.00			0	0	Matches
20	Alexandre Alemão	br BRA	FW	Pachuca	27	1998	1.2	0	5	2	40.0	4.17	1.67	0.00	0.00	0	0	Matches
21	Daniel Alexis Parra	mx MEX	DF	Querétaro	26	1999	9.1	1	12	2	16.7	1.32	0.22	0.08	0.50	0	0	Matches
22	Cristóbal Alfaro	mx MEX	DF	Pachuca	18	2007	1.1	0	0	0		0.00	0.00			0	0	Matches
23	Luis Alfonso Rodríguez	mx MEX	DF	Pachuca	34	1991	3.5	0	1	0	0.0	0.29	0.00	0.00		0	0	Matches
24	Guillermo Allison	mx MEX	GK	Querétaro	34	1990	21.6	0	0	0		0.00	0.00			0	0	Matches
25	Facundo Almada	ar ARG	DF	Mazatlán	27	1998	34.0	6	23	12	52.2	0.68	0.35	0.26	0.50	0	0	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
26	Agustín Almendra	ar ARG	MF,FW	Necaxa	25	2000	4.9	0	5	0	0.0	1.02	0.00	0.00		0	0	Matches
27	Ricardo Alonso	mx MEX	DF	Necaxa	18	2007	0.2	0	0	0		0.00	0.00			0	0	Matches
28	Alfonso Alvarado	mx MEX	FW	Monterrey	25	2000	0.5	0	0	0		0.00	0.00			0	0	Matches
29	Alfonso Alvarado	mx MEX	FW,MF	León	25	2000	12.3	2	37	14	37.8	3.00	1.14	0.05	0.14	0	0	Matches
30	Roberto Alvarado	mx MEX	MF	Guadalajara	26	1998	24.4	4	51	20	39.2	2.09	0.82	0.08	0.20	0	0	Matches
31	Alek Álvarez	mx MEX	DF	Toluca	22	2003	0.8	0	0	0		0.00	0.00			0	0	Matches
32	Efrain Alvarez	mx MEX	MF	Guadalajara	23	2002	23.6	3	67	21	31.3	2.83	0.89	0.04	0.14	0	1	Matches
33	Gael Álvarez	mx MEX	MF	Pachuca	19	2006	0.6	0	2	1	50.0	3.27	1.64	0.00	0.00	0	0	Matches
34	Kevin Álvarez	mx MEX	DF,MF	América	26	1999	21.8	1	26	9	34.6	1.19	0.41	0.04	0.11	0	0	Matches
35	Fidel Ambríz	mx MEX	MF	Monterrey	22	2003	20.1	1	28	7	25.0	1.40	0.35	0.04	0.14	0	0	Matches
36	Bruno Amione	ar ARG	DF	Santos Laguna	23	2002	28.1	3	13	4	30.8	0.46	0.14	0.23	0.75	0	0	Matches
37	Alejandro Andrade	mx MEX	MF	Necaxa	23	2001	1.1	0	3	2	66.7	2.78	1.86	0.00	0.00	0	0	Matches
38	Luis Ángel Malagón	mx MEX	GK	América	28	1997	24.0	0	0	0		0.00	0.00			0	0	Matches
39	Álvaro Angulo	co COL	DF,MF	UNAM	28	1997	28.4	6	40	9	22.5	1.41	0.32	0.13	0.56	1	2	Matches
40	Jesús Angulo	mx MEX	MF	Toluca	28	1997	22.3	7	46	13	28.3	2.07	0.58	0.15	0.54	0	0	Matches
41	José Antonio Rodríguez	mx MEX	GK	Tijuana	33	1992	33.9	0	0	0		0.00	0.00			0	0	Matches
42	Uriel Antuna	mx MEX	MF,FW	UNAM	27	1997	6.6	2	10	6	60.0	1.51	0.91	0.20	0.33	0	0	Matches
43	Uriel Antuna	mx MEX	MF	UANL	27	1997	2.5	0	4	2	50.0	1.57	0.79	0.00	0.00	0	0	Matches
44	Javier Aquino	mx MEX	DF,MF	UANL	35	1990	14.9	0	3	0	0.0	0.20	0.00	0.00		0	0	Matches
45	Javier Aquino	mx MEX	DF	FC Juárez	35	1990	7.0	0	0	0		0.00	0.00			0	0	Matches
46	Ángelo Araos	cl CHI	MF,FW	Puebla	28	1997	2.8	1	8	2	25.0	2.87	0.72	0.13	0.50	0	0	Matches
47	César Araujo	uy URU	MF	UANL	24	2001	9.5	0	3	0	0.0	0.31	0.00	0.00		0	0	Matches
48	Billy Arce	ec ECU	MF	Mazatlán	27	1998	1.5	0	2	1	50.0	1.36	0.68	0.00	0.00	0	0	Matches
49	Fernando Arce Jr.	us USA	MF	Toluca	28	1996	7.2	1	8	4	50.0	1.11	0.56	0.13	0.25	0	0	Matches
50	Ramiro Árciga	mx MEX	MF	Tijuana	20	2004	23.7	3	27	8	29.6	1.14	0.34	0.11	0.38	0	0	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
51	Daniel Arcila	co COL	MF,FW	León	23	2002	8.5	4	35	9	25.7	4.11	1.06	0.11	0.44	0	0	Matches
52	Jesús Arellano	mx MEX	MF	Querétaro	20	2004	0.1	0	0	0		0.00	0.00			0	0	Matches
53	Eduardo Armenta	mx MEX	MF	Querétaro	23	2001	9.3	0	6	1	16.7	0.65	0.11	0.00	0.00	0	0	Matches
54	José Arroyo	mx MEX	FW	Toluca	19	2006	0.0	0	0	0		0.00	0.00			0	0	Matches
55	Gerardo Arteaga	mx MEX	DF,MF	Monterrey	26	1998	24.9	1	13	4	30.8	0.52	0.16	0.08	0.25	0	0	Matches
56	Víctor Arteaga	mx MEX	MF,FW	Toluca	21	2004	1.7	0	1	0	0.0	0.58	0.00	0.00		0	0	Matches
57	Ali Ávila	mx MEX	FW	Querétaro	21	2003	20.0	11	42	19	45.2	2.10	0.95	0.21	0.47	2	2	Matches
58	Ettson Ayon	mx MEX	FW	FC Juárez	24	2001	3.7	2	13	5	38.5	3.49	1.34	0.08	0.20	1	1	Matches
59	Ettson Ayon	mx MEX	FW	León	24	2001	4.0	0	7	3	42.9	1.75	0.75	0.00	0.00	0	0	Matches
60	Angel Azuaje	ve VEN	DF	UNAM	20	2004	15.2	0	5	1	20.0	0.33	0.07	0.00	0.00	0	0	Matches
61	Tomás Badaloni	ar ARG	FW	Necaxa	25	2000	23.4	8	68	25	36.8	2.90	1.07	0.12	0.32	0	0	Matches
62	Kevin Balanta	co COL	DF	Santos Laguna	28	1997	27.1	1	6	1	16.7	0.22	0.04	0.17	1.00	0	0	Matches
63	Carlos Baltazar	mx MEX	MF	Puebla	28	1997	9.4	4	22	12	54.5	2.35	1.28	0.18	0.33	0	0	Matches
64	Robson Bambu	br BRA	DF	Atlético San Luis	27	1997	15.6	0	5	1	20.0	0.32	0.06	0.00	0.00	0	0	Matches
65	Fidel Barajas	mx MEX	MF	Atlético San Luis	19	2006	2.0	1	5	2	40.0	2.53	1.01	0.20	0.50	0	0	Matches
66	Diego Barbosa	mx MEX	DF	Toluca	28	1996	19.6	1	16	5	31.3	0.82	0.25	0.06	0.20	0	0	Matches
67	Jaine Barreiro	co COL	DF	León	31	1994	29.9	0	16	4	25.0	0.53	0.13	0.00	0.00	0	0	Matches
68	Pablo Barrera	mx MEX	MF,FW	Querétaro	38	1987	5.9	1	9	4	44.4	1.51	0.67	0.00	0.00	1	2	Matches
69	Sergio Barreto	ar ARG	DF	Pachuca	26	1999	30.9	1	19	3	15.8	0.62	0.10	0.05	0.33	0	0	Matches
70	Bruno Barticciotto	cl CHI	FW	Santos Laguna	24	2001	6.8	2	18	7	38.9	2.64	1.03	0.06	0.14	1	2	Matches
71	Alán Bautista	mx MEX	MF	Pachuca	23	2002	21.5	3	34	10	29.4	1.58	0.47	0.09	0.30	0	0	Matches
72	Paul Bellón	mx MEX	DF	León	28	1997	8.2	0	3	1	33.3	0.37	0.12	0.00	0.00	0	0	Matches
73	Fernando Beltrán	mx MEX	MF	León	27	1998	22.4	3	19	6	31.6	0.85	0.27	0.16	0.50	0	0	Matches
74	Anwar Ben Rhouma	us USA	FW	Mazatlán	20	2005	0.2	0	0	0		0.00	0.00			0	0	Matches
75	Nicolás Benedetti	co COL	MF,FW	Mazatlán	28	1997	11.6	3	16	7	43.8	1.38	0.60	0.13	0.29	1	3	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
76	Pablo Bennevendo Peña	mx MEX	DF	UNAM	25	2000	21.9	0	6	1	16.7	0.27	0.05	0.00	0.00	0	0	Matches
77	Jorge Berlanga	mx MEX	DF	Pachuca	22	2003	6.1	0	1	1	100.0	0.16	0.16	0.00	0.00	0	0	Matches
78	Germán Berterame	mx MEX	FW	Monterrey	26	1998	19.1	11	59	32	54.2	3.09	1.68	0.19	0.34	0	0	Matches
79	Unai Bilbao	es ESP	DF	Tijuana	31	1994	20.1	2	14	5	35.7	0.69	0.25	0.14	0.40	0	0	Matches
80	Domingo Blanco	ar ARG	MF	Tijuana	30	1995	12.1	1	18	4	22.2	1.49	0.33	0.06	0.25	0	0	Matches
81	Luis Blanco	mx MEX	MF	Atlas	19	2006	0.0	0	0	0		0.00	0.00			0	0	Matches
82	Rodrigo Bogarín	py PAR	MF	Querétaro	28	1997	13.6	1	14	5	35.7	1.03	0.37	0.07	0.20	0	0	Matches
83	Mateusz Bogusz	pl POL	MF,FW	Cruz Azul	23	2001	6.0	1	21	6	28.6	3.53	1.01	0.05	0.17	0	0	Matches
84	Cristian Borja	co COL	DF	América	32	1993	29.4	0	21	4	19.0	0.71	0.14	0.00	0.00	0	0	Matches
85	Frank Boya	cm CMR	MF	Tijuana	29	1996	14.3	6	28	10	35.7	1.96	0.70	0.21	0.60	0	0	Matches
86	Antonio Briseño	mx MEX	DF	Toluca	31	1994	9.8	2	9	5	55.6	0.92	0.51	0.22	0.40	0	0	Matches
87	Isaác Brizuela	mx MEX	DF,FW	Guadalajara	34	1990	0.2	0	0	0		0.00	0.00			0	0	Matches
88	Juan Brunetta	ar ARG	MF	UANL	28	1997	27.8	15	91	36	39.6	3.28	1.30	0.14	0.36	2	2	Matches
