Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_1,Ast_1,G+A_1,G-PK_1,G+A-PK,Matches,xG,npxG,xAG,Sh,source_file
1,Lucas Abascia,ar ARG,DF,Querétaro,29.0,1995.0,16,16,1440,16.0,0,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
2,José Abella,mx MEX,DF,Santos Laguna,31.0,1994.0,27,23,1804,20.0,0,5,5,0,0,0,3,1,0.0,0.25,0.25,0.0,0.25,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
3,Diego Abreu,uy URU,FW,Tijuana,21.0,2003.0,12,4,425,4.7,3,1,4,2,1,1,0,0,0.64,0.21,0.85,0.42,0.64,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
4,Carlos Acevedo,mx MEX,GK,Santos Laguna,29.0,1996.0,32,32,2859,31.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
5,Alonso Aceves,mx MEX,DF,Pachuca,24.0,2001.0,15,15,1288,14.3,1,2,3,1,0,0,2,1,0.07,0.14,0.21,0.07,0.21,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
6,Alonso Aceves,mx MEX,DF,Monterrey,24.0,2001.0,12,8,799,8.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
7,Sebastián Aceves,mx MEX,DF,Toluca,19.0,2005.0,3,3,219,2.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
8,Gilberto Adame,mx MEX,MF,Mazatlán,20.0,2004.0,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
9,Sergio Aguayo,us USA,FW,Guadalajara,22.0,2002.0,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
10,Eduardo Águila,mx MEX,DF,Atlético San Luis,23.0,2002.0,29,27,2461,27.3,2,0,2,2,0,0,2,2,0.07,0.0,0.07,0.07,0.07,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
