	Playing Time	Performance	Per 90 Minutes	
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
1	Paxten Aaronson	us USA	MF	Colorado Rapids	22-284	2003	15	13	1,165	12.9	4	3	7	4	0	0	1	0	0.31	0.23	0.54	0.31	0.54	Matches
2	Liel Abada	il ISR	MF,FW	Charlotte	24-246	2001	9	4	363	4.0	0	2	2	0	0	0	1	0	0.00	0.50	0.50	0.00	0.50	Matches
3	Ezequiel Abadia-Reda	us USA	DF	Inter Miami	20-105	2006	3	0	39	0.4	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
4	Wessam Abou Ali	ps PLE	FW	Columbus Crew	27-153	1999	7	7	565	6.3	5	1	6	5	0	1	1	0	0.80	0.16	0.96	0.80	0.96	Matches
5	Lalas Abubakar	gh GHA	DF	FC Dallas	31-163	1994	1	1	53	0.6	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
6	Bryan Acosta	hn HON	MF	Nashville SC	32-194	1993	7	6	465	5.2	2	1	3	2	0	0	2	0	0.39	0.19	0.58	0.39	0.58	Matches
7	Chase Adams	us USA	MF	Columbus Crew	18-050	2008	1	0	1	0.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
8	Nonso Adimabua	ng NGA	FW	SJ Earthquakes	25-272	2000	2	1	46	0.5	0	1	1	0	0	0	0	0	0.00	1.96	1.96	0.00	1.96	Matches
9	Stephen Afrifa	ca CAN	FW	Sporting KC	25-107	2001	12	0	240	2.7	1	1	2	1	0	0	0	0	0.37	0.37	0.75	0.37	0.75	Matches
10	Kwaku Agyabeng	gh GHA	MF,DF	Sporting KC	19-344	2006	7	2	295	3.3	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
11	Morrison Agyemang	gh GHA	DF	Charlotte	21-167	2004	14	13	1,215	13.5	2	0	2	2	0	0	2	0	0.15	0.00	0.15	0.15	0.15	Matches
12	Jorge Alastuey	es ESP	MF	Austin FC	23-023	2003	2	1	97	1.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
13	Noah Allen	gr GRE	DF,MF	Inter Miami	22-039	2004	12	10	758	8.4	0	1	1	0	0	0	2	0	0.00	0.12	0.12	0.00	0.12	Matches
14	Tadeo Allende	ar ARG	MF,FW	Inter Miami	27-106	1999	9	4	434	4.8	0	0	0	0	0	0	3	0	0.00	0.00	0.00	0.00	0.00	Matches
15	Miguel Almirón	py PAR	FW,MF	Atlanta Utd	32-116	1994	8	7	658	7.3	0	2	2	0	0	0	0	0	0.00	0.27	0.27	0.00	0.27	Matches
16	Rodolfo Aloko	bj BEN	MF	Charlotte	19-162	2006	6	3	246	2.7	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
