	Standard	
Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
1	Paxten Aaronson	us USA	MF	Colorado Rapids	22-284	2003	12.9	4	27	12	44.4	2.09	0.93	0.15	0.33	0	0	Matches
2	Liel Abada	il ISR	MF,FW	Charlotte	24-246	2001	4.0	0	9	7	77.8	2.23	1.74	0.00	0.00	0	0	Matches
3	Ezequiel Abadia-Reda	us USA	DF	Inter Miami	20-105	2006	0.4	0	0	0		0.00	0.00			0	0	Matches
4	Wessam Abou Ali	ps PLE	FW	Columbus Crew	27-153	1999	6.3	5	20	9	45.0	3.19	1.43	0.25	0.56	0	1	Matches
5	Lalas Abubakar	gh GHA	DF	FC Dallas	31-163	1994	0.6	0	0	0		0.00	0.00			0	0	Matches
6	Bryan Acosta	hn HON	MF	Nashville SC	32-194	1993	5.2	2	4	2	50.0	0.77	0.39	0.50	1.00	0	0	Matches
7	Chase Adams	us USA	MF	Columbus Crew	18-050	2008	0.0	0	0	0		0.00	0.00			0	0	Matches
8	Nonso Adimabua	ng NGA	FW	SJ Earthquakes	25-272	2000	0.5	0	0	0		0.00	0.00			0	0	Matches
9	Stephen Afrifa	ca CAN	FW	Sporting KC	25-107	2001	2.7	1	6	3	50.0	2.25	1.13	0.17	0.33	0	0	Matches
10	Kwaku Agyabeng	gh GHA	MF,DF	Sporting KC	19-344	2006	3.3	0	0	0		0.00	0.00			0	0	Matches
11	Morrison Agyemang	gh GHA	DF	Charlotte	21-167	2004	13.5	2	10	3	30.0	0.74	0.22	0.20	0.67	0	0	Matches
12	Jorge Alastuey	es ESP	MF	Austin FC	23-023	2003	1.1	0	1	0	0.0	0.93	0.00	0.00		0	0	Matches
13	Noah Allen	gr GRE	DF,MF	Inter Miami	22-039	2004	8.4	0	0	0		0.00	0.00			0	0	Matches
14	Tadeo Allende	ar ARG	MF,FW	Inter Miami	27-106	1999	4.8	0	9	4	44.4	1.87	0.83	0.00	0.00	0	0	Matches
15	Miguel Almirón	py PAR	FW,MF	Atlanta Utd	32-116	1994	7.3	0	19	5	26.3	2.60	0.68	0.00	0.00	0	0	Matches
16	Rodolfo Aloko	bj BEN	MF	Charlotte	19-162	2006	2.7	0	7	2	28.6	2.56	0.73	0.00	0.00	0	0	Matches
17	Alejandro Alvarado Jr.	us USA	MF	San Diego FC	22-312	2003	0.6	0	1	0	0.0	1.61	0.00	0.00		0	0	Matches
18	Steven Alzate	co COL	MF	Atlanta Utd	27-271	1998	4.4	0	3	1	33.3	0.68	0.23	0.00	0.00	0	0	Matches
19	Pedro Amador	pt POR	DF	Atlanta Utd	27-170	1998	2.7	0	3	0	0.0	1.11	0.00	0.00		0	0	Matches
20	Malte Amundsen	dk DEN	DF	Columbus Crew	28-115	1998	10.5	0	4	0	0.0	0.38	0.00	0.00		0	0	Matches
21	Felipe Andrade	br BRA	DF	Houston Dynamo	24-008	2002	10.9	1	8	2	25.0	0.73	0.18	0.13	0.50	0	0	Matches
22	Augustin Anello	it ITA	MF,FW	Philadelphia Union	24-045	2002	4.2	1	13	6	46.2	3.13	1.44	0.08	0.17	0	0	Matches
23	Iván Angulo	co COL	MF,DF	Orlando City	27-076	1999	14.3	0	9	5	55.6	0.63	0.35	0.00	0.00	0	0	Matches
24	Conner Antley	us USA	DF,MF	D.C. United	31-076	1995	0.3	0	0	0		0.00	0.00			0	0	Matches
25	Antony	br BRA	MF,FW	Portland Timbers	24-271	2001	10.4	2	22	4	18.2	2.12	0.39	0.09	0.50	0	0	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
26	Brian Anunga	cm CMR	MF	FC Cincinnati	29-300	1996	4.3	0	0	0		0.00	0.00			0	0	Matches
27	Matthew Arana	mx MEX	MF	Houston Dynamo	15-282	2010	0.0	0	0	0		0.00	0.00			0	0	Matches
28	Alexander Aravena	cl CHI	MF	Portland Timbers	23-273	2002	4.9	0	12	6	50.0	2.47	1.23	0.00	0.00	0	0	Matches
29	Max Arfsten	us USA	MF	Columbus Crew	25-048	2001	14.2	4	19	8	42.1	1.33	0.56	0.21	0.50	0	0	Matches
30	Emilio Aristizábal	co COL	FW,MF	Toronto FC	20-305	2005	5.0	3	16	7	43.8	3.20	1.40	0.19	0.43	0	0	Matches
31	Daniel Armando Ríos	mx MEX	FW	CF Montréal	31-104	1995	3.2	2	12	7	58.3	3.72	2.17	0.08	0.14	1	1	Matches
32	Paul Arriola	us USA	MF	Seattle Sounders	31-121	1995	2.6	0	5	1	20.0	1.89	0.38	0.00	0.00	0	0	Matches
33	Artur	br BRA	MF	Houston Dynamo	30-087	1996	4.7	0	3	2	66.7	0.63	0.42	0.00	0.00	0	0	Matches
34	Joshua Atencio	us USA	MF	Colorado Rapids	24-126	2002	8.8	1	3	2	66.7	0.34	0.23	0.33	0.50	0	0	Matches
35	Eduard Atuesta	co COL	MF	Orlando City	28-353	1997	7.5	0	4	2	50.0	0.53	0.27	0.00	0.00	0	0	Matches
36	Julián Aude	ar ARG	DF	LA Galaxy	23-074	2003	6.0	0	0	0		0.00	0.00			0	0	Matches
37	Tomás Avilés	ar ARG	DF	CF Montréal	22-123	2004	2.4	0	1	0	0.0	0.41	0.00	0.00		0	0	Matches
38	Nəriman Axundzadə	az AZE	MF	Columbus Crew	22-044	2004	0.4	0	0	0		0.00	0.00			0	0	Matches
39	David Ayala	ar ARG	MF	Inter Miami	23-315	2002	2.9	0	1	0	0.0	0.34	0.00	0.00		0	0	Matches
40	Jeevan Badwal	ca CAN	MF	Vancouver W'caps	20-087	2006	9.9	0	9	5	55.6	0.91	0.51	0.00	0.00	0	0	Matches
41	Elías Báez	ar ARG	DF	Atlanta Utd	21-231	2004	11.6	0	13	3	23.1	1.12	0.26	0.00	0.00	0	0	Matches
42	Drew Baiera	us USA	DF	NYCFC	19-098	2007	0.3	0	0	0		0.00	0.00			0	0	Matches
43	Cody Baker	us USA	DF	Seattle Sounders	22-150	2004	1.1	0	1	0	0.0	0.93	0.00	0.00		0	0	Matches
44	Reed Baker-Whiting	us USA	DF	Nashville SC	21-067	2005	4.5	0	1	0	0.0	0.22	0.00	0.00		0	0	Matches
45	Jonathan Bamba	ci CIV	MF,FW	Chicago Fire	30-072	1996	7.3	2	18	7	38.9	2.47	0.96	0.11	0.29	0	0	Matches
46	Fletcher Bank	us USA	MF	Toronto FC	23-036	2003	0.1	0	0	0		0.00	0.00			0	0	Matches
47	Jesús Barea	es ESP	FW	Real Salt Lake	24-039	2002	0.2	0	1	0	0.0	5.29	0.00	0.00		0	0	Matches
48	Tai Baribo	il ISR	FW	D.C. United	28-142	1998	10.2	8	24	11	45.8	2.34	1.07	0.25	0.55	2	2	Matches
49	Tom Barlow	us USA	FW,MF	FC Cincinnati	30-333	1995	6.2	5	13	9	69.2	2.11	1.46	0.38	0.56	0	0	Matches
50	Leonardo Barroso	pt POR	DF,MF	Chicago Fire	20-359	2005	6.0	0	5	2	40.0	0.83	0.33	0.00	0.00	0	0	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
51	Jacob Bartlett	us USA	MF	Sporting KC	20-242	2005	9.3	1	1	1	100.0	0.11	0.11	1.00	1.00	0	0	Matches
52	Lucas Bartlett	us USA	DF	D.C. United	28-315	1997	15.0	2	14	5	35.7	0.94	0.33	0.14	0.40	0	0	Matches
53	Ethan Bartlow	us USA	DF	Sporting KC	26-124	2000	8.5	0	3	1	33.3	0.35	0.12	0.00	0.00	0	0	Matches
54	Cole Bassett	us USA	MF	Portland Timbers	24-313	2001	9.2	2	15	7	46.7	1.62	0.76	0.13	0.29	0	0	Matches
