Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,xG,npxG,xAG,source_file
1,Paxten Aaronson,us USA,MF,Colorado Rapids,,2003.0,12.9,4,27,12,44.4,2.09,0.93,0.15,0.33,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
2,Liel Abada,il ISR,"MF,FW",Charlotte,,2001.0,4.0,0,9,7,77.8,2.23,1.74,0.0,0.0,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
3,Ezequiel Abadia-Reda,us USA,DF,Inter Miami,,2006.0,0.4,0,0,0,,0.0,0.0,,,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
4,Wessam Abou Ali,ps PLE,FW,Columbus Crew,,1999.0,6.3,5,20,9,45.0,3.19,1.43,0.25,0.56,0,1,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
5,Lalas Abubakar,gh GHA,DF,FC Dallas,,1994.0,0.6,0,0,0,,0.0,0.0,,,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
6,Bryan Acosta,hn HON,MF,Nashville SC,,1993.0,5.2,2,4,2,50.0,0.77,0.39,0.5,1.0,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
7,Chase Adams,us USA,MF,Columbus Crew,,2008.0,0.0,0,0,0,,0.0,0.0,,,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
8,Nonso Adimabua,ng NGA,FW,SJ Earthquakes,,2000.0,0.5,0,0,0,,0.0,0.0,,,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
9,Stephen Afrifa,ca CAN,FW,Sporting KC,,2001.0,2.7,1,6,3,50.0,2.25,1.13,0.17,0.33,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
10,Kwaku Agyabeng,gh GHA,"MF,DF",Sporting KC,,2006.0,3.3,0,0,0,,0.0,0.0,,,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
