Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_1,Ast_1,G+A_1,G-PK_1,G+A-PK,Matches,xG,npxG,xAG,Sh,source_file
1,Paxten Aaronson,us USA,MF,Colorado Rapids,,2003.0,15,13,1165,12.9,4,3,7,4,0,0,1,0,0.31,0.23,0.54,0.31,0.54,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
2,Liel Abada,il ISR,"MF,FW",Charlotte,,2001.0,9,4,363,4.0,0,2,2,0,0,0,1,0,0.0,0.5,0.5,0.0,0.50,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
3,Ezequiel Abadia-Reda,us USA,DF,Inter Miami,,2006.0,3,0,39,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
4,Wessam Abou Ali,ps PLE,FW,Columbus Crew,,1999.0,7,7,565,6.3,5,1,6,5,0,1,1,0,0.8,0.16,0.96,0.8,0.96,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
5,Lalas Abubakar,gh GHA,DF,FC Dallas,,1994.0,1,1,53,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
6,Bryan Acosta,hn HON,MF,Nashville SC,,1993.0,7,6,465,5.2,2,1,3,2,0,0,2,0,0.39,0.19,0.58,0.39,0.58,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
7,Chase Adams,us USA,MF,Columbus Crew,,2008.0,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
8,Nonso Adimabua,ng NGA,FW,SJ Earthquakes,,2000.0,2,1,46,0.5,0,1,1,0,0,0,0,0,0.0,1.96,1.96,0.0,1.96,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
9,Stephen Afrifa,ca CAN,FW,Sporting KC,,2001.0,12,0,240,2.7,1,1,2,1,0,0,0,0,0.37,0.37,0.75,0.37,0.75,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
10,Kwaku Agyabeng,gh GHA,"MF,DF",Sporting KC,,2006.0,7,2,295,3.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
11,Morrison Agyemang,gh GHA,DF,Charlotte,,2004.0,14,13,1215,13.5,2,0,2,2,0,0,2,0,0.15,0.0,0.15,0.15,0.15,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
12,Jorge Alastuey,es ESP,MF,Austin FC,,2003.0,2,1,97,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
13,Noah Allen,gr GRE,"DF,MF",Inter Miami,,2004.0,12,10,758,8.4,0,1,1,0,0,0,2,0,0.0,0.12,0.12,0.0,0.12,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
14,Tadeo Allende,ar ARG,"MF,FW",Inter Miami,,1999.0,9,4,434,4.8,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
15,Miguel Almirón,py PAR,"FW,MF",Atlanta Utd,,1994.0,8,7,658,7.3,0,2,2,0,0,0,0,0,0.0,0.27,0.27,0.0,0.27,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
16,Rodolfo Aloko,bj BEN,MF,Charlotte,,2006.0,6,3,246,2.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
17,Alejandro Alvarado Jr.,us USA,MF,San Diego FC,,2003.0,6,0,56,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
18,Steven Alzate,co COL,MF,Atlanta Utd,,1998.0,7,4,397,4.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
19,Pedro Amador,pt POR,DF,Atlanta Utd,,1998.0,7,2,243,2.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
20,Malte Amundsen,dk DEN,DF,Columbus Crew,,1998.0,11,11,945,10.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
21,Felipe Andrade,br BRA,DF,Houston Dynamo,,2002.0,11,11,980,10.9,1,0,1,1,0,0,6,0,0.09,0.0,0.09,0.09,0.09,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
22,Augustin Anello,it ITA,"MF,FW",Philadelphia Union,,2002.0,10,3,374,4.2,1,1,2,1,0,0,1,0,0.24,0.24,0.48,0.24,0.48,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
23,Iván Angulo,co COL,"MF,DF",Orlando City,,1999.0,15,14,1287,14.3,0,4,4,0,0,0,2,0,0.0,0.28,0.28,0.0,0.28,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
24,Conner Antley,us USA,"DF,MF",D.C. United,,1995.0,4,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
25,Antony,br BRA,"MF,FW",Portland Timbers,,2001.0,13,11,932,10.4,2,1,3,2,0,0,0,0,0.19,0.1,0.29,0.19,0.29,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
26,Brian Anunga,cm CMR,MF,FC Cincinnati,,1996.0,8,4,388,4.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
27,Matthew Arana,mx MEX,MF,Houston Dynamo,,2010.0,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
28,Alexander Aravena,cl CHI,MF,Portland Timbers,,2002.0,12,4,438,4.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
29,Max Arfsten,us USA,MF,Columbus Crew,,2001.0,15,15,1282,14.2,4,4,8,4,0,0,2,0,0.28,0.28,0.56,0.28,0.56,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
30,Emilio Aristizábal,co COL,"FW,MF",Toronto FC,,2005.0,13,5,450,5.0,3,0,3,3,0,0,1,0,0.6,0.0,0.6,0.6,0.60,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
31,Daniel Armando Ríos,mx MEX,FW,CF Montréal,,1995.0,11,1,290,3.2,2,0,2,1,1,1,2,0,0.62,0.0,0.62,0.31,0.31,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
32,Paul Arriola,us USA,MF,Seattle Sounders,,1995.0,8,3,238,2.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
33,Artur,br BRA,MF,Houston Dynamo,,1996.0,7,5,426,4.7,0,1,1,0,0,0,1,0,0.0,0.21,0.21,0.0,0.21,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
34,Joshua Atencio,us USA,MF,Colorado Rapids,,2002.0,12,9,790,8.8,1,0,1,1,0,0,6,0,0.11,0.0,0.11,0.11,0.11,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
35,Eduard Atuesta,co COL,MF,Orlando City,,1997.0,11,8,675,7.5,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
36,Julián Aude,ar ARG,DF,LA Galaxy,,2003.0,8,8,542,6.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
37,Tomás Avilés,ar ARG,DF,CF Montréal,,2004.0,4,3,220,2.4,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
38,Nəriman Axundzadə,az AZE,MF,Columbus Crew,,2004.0,6,0,35,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
39,David Ayala,ar ARG,MF,Inter Miami,,2002.0,6,3,265,2.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
