	Playing Time	Performance	Per 90 Minutes	
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
1	Malek Al Abadalmanam	sa KSA	MF	Al-Fayha	27	1998	7	0	37	0.4	0	1	1	0	0	0	0	0	0.00	2.43	2.43	0.00	2.43	Matches
2	Saleh Al Abbas	sa KSA	FW	Al Okhdood SC	31	1993	20	6	691	7.7	1	1	2	1	0	0	2	1	0.13	0.13	0.26	0.13	0.26	Matches
3	Faris Abdi	sa KSA	DF	Neom	26	1999	33	27	2,473	27.5	0	2	2	0	0	0	7	0	0.00	0.07	0.07	0.00	0.07	Matches
4	Ali Abdoulraouf		MF	Al-Khaleej			5	1	124	1.4	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
5	Ahmed Abdu	sa KSA	FW	Neom	28	1996	19	2	423	4.7	1	0	1	1	0	0	1	0	0.21	0.00	0.21	0.21	0.21	Matches
6	Hayder Abdulkareem	iq IRQ	MF	Al-Nassr	20	2004	1	0	8	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
7	Majed Abdullah	sa KSA	FW	Al-Shabab	19	2006	9	0	115	1.3	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
8	Salem Abdullah	sa KSA	FW	Al-Ahli	17	2008	3	0	23	0.3	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
9	Mohamed Abdulrahman	sa KSA	DF,MF	Al-Ahli	22	2003	24	7	843	9.4	0	1	1	0	0	0	3	0	0.00	0.11	0.11	0.00	0.11	Matches
10	Fahad Al Abdulraziq	sa KSA	DF,MF	Al-Najma	25	2000	13	9	757	8.4	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
11	Faisal Al Abdulwahed	sa KSA	FW	Al-Fateh	20	2004	4	0	47	0.5	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
12	Abdulrahman Al-Aboud	sa KSA	MF	Al-Ittihad	30	1995	15	2	536	6.0	1	1	2	1	0	0	2	0	0.17	0.17	0.34	0.17	0.34	Matches
13	Khalil Al Absi	sa KSA	MF	Al-Riyadh SC	24	2001	23	5	665	7.4	1	0	1	1	0	0	1	0	0.14	0.00	0.14	0.14	0.14	Matches
14	Mohammed Al Absi	sa KSA	GK	Al-Ittihad	22	2002	5	3	302	3.4	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
15	Mohammed Abu Abd	sa KSA	DF,MF	Al Okhdood SC	23	2002	25	20	1,820	20.2	0	0	0	0	0	0	3	1	0.00	0.00	0.00	0.00	0.00	Matches
16	Abdulfattah Adam	sa KSA	FW	Al-Taawoun	30	1995	13	0	199	2.2	0	1	1	0	0	0	0	0	0.00	0.45	0.45	0.00	0.45	Matches
17	Yacine Adli	fr FRA	MF	Al-Shabab	25	2000	26	24	2,116	23.5	1	3	4	1	0	0	3	0	0.04	0.13	0.17	0.04	0.17	Matches
18	Waleed Al Ahmad	sa KSA	DF	Al-Qadsiah	26	1999	6	4	352	3.9	1	1	2	1	0	0	4	0	0.26	0.26	0.51	0.26	0.51	Matches
19	Waleed Al Ahmad	sa KSA	DF	Al-Taawoun	26	1999	15	15	1,326	14.7	4	0	4	4	0	0	5	0	0.27	0.00	0.27	0.27	0.27	Matches
20	Abdullah Al Ajian	sa KSA	FW	Al Kholood Saudi Club	20	2004	1	0	8	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
21	Yusuf Akçiçek	tr TUR	DF	Al-Hilal	19	2006	12	7	617	6.9	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
22	Mishal Al Alaeli	sa KSA	DF,MF	Al-Taawoun	21	2004	12	5	493	5.5	0	0	0	0	0	0	5	0	0.00	0.00	0.00	0.00	0.00	Matches
