	Standard	
Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
1	Malek Al Abadalmanam	sa KSA	MF	Al-Fayha	27	1998	0.4	0	0	0		0.00	0.00			0	0	Matches
2	Saleh Al Abbas	sa KSA	FW	Al Okhdood SC	31	1993	7.7	1	9	2	22.2	1.17	0.26	0.11	0.50	0	0	Matches
3	Faris Abdi	sa KSA	DF	Neom	26	1999	27.5	0	6	5	83.3	0.22	0.18	0.00	0.00	0	0	Matches
4	Ali Abdoulraouf		MF	Al-Khaleej			1.4	0	2	1	50.0	1.45	0.73	0.00	0.00	0	0	Matches
5	Ahmed Abdu	sa KSA	FW	Neom	28	1996	4.7	1	13	3	23.1	2.77	0.64	0.08	0.33	0	0	Matches
6	Hayder Abdulkareem	iq IRQ	MF	Al-Nassr	20	2004	0.1	0	1	0	0.0	11.25	0.00	0.00		0	0	Matches
7	Majed Abdullah	sa KSA	FW	Al-Shabab	19	2006	1.3	0	5	1	20.0	3.91	0.78	0.00	0.00	0	0	Matches
8	Salem Abdullah	sa KSA	FW	Al-Ahli	17	2008	0.3	0	0	0		0.00	0.00			0	0	Matches
9	Mohamed Abdulrahman	sa KSA	DF,MF	Al-Ahli	22	2003	9.4	0	9	1	11.1	0.96	0.11	0.00	0.00	0	0	Matches
10	Fahad Al Abdulraziq	sa KSA	DF,MF	Al-Najma	25	2000	8.4	0	1	0	0.0	0.12	0.00	0.00		0	0	Matches
11	Faisal Al Abdulwahed	sa KSA	FW	Al-Fateh	20	2004	0.5	0	1	0	0.0	1.91	0.00	0.00		0	0	Matches
12	Abdulrahman Al-Aboud	sa KSA	MF	Al-Ittihad	30	1995	6.0	1	12	4	33.3	2.01	0.67	0.08	0.25	0	0	Matches
13	Khalil Al Absi	sa KSA	MF	Al-Riyadh SC	24	2001	7.4	1	9	4	44.4	1.22	0.54	0.11	0.25	0	0	Matches
14	Mohammed Al Absi	sa KSA	GK	Al-Ittihad	22	2002	3.4	0	0	0		0.00	0.00			0	0	Matches
15	Mohammed Abu Abd	sa KSA	DF,MF	Al Okhdood SC	23	2002	20.2	0	2	0	0.0	0.10	0.00	0.00		0	0	Matches
16	Abdulfattah Adam	sa KSA	FW	Al-Taawoun	30	1995	2.2	0	7	0	0.0	3.17	0.00	0.00		0	0	Matches
17	Yacine Adli	fr FRA	MF	Al-Shabab	25	2000	23.5	1	25	11	44.0	1.06	0.47	0.04	0.09	0	0	Matches
18	Waleed Al Ahmad	sa KSA	DF	Al-Qadsiah	26	1999	3.9	1	6	2	33.3	1.53	0.51	0.17	0.50	0	0	Matches
19	Waleed Al Ahmad	sa KSA	DF	Al-Taawoun	26	1999	14.7	4	14	4	28.6	0.95	0.27	0.29	1.00	0	0	Matches
20	Abdullah Al Ajian	sa KSA	FW	Al Kholood Saudi Club	20	2004	0.1	0	0	0		0.00	0.00			0	0	Matches
21	Yusuf Akçiçek	tr TUR	DF	Al-Hilal	19	2006	6.9	0	1	0	0.0	0.15	0.00	0.00		0	0	Matches
22	Mishal Al Alaeli	sa KSA	DF,MF	Al-Taawoun	21	2004	5.5	0	5	1	20.0	0.91	0.18	0.00	0.00	0	0	Matches
23	Hassan Al Ali	sa KSA	MF	Neom	23	2002	5.2	0	7	2	28.6	1.35	0.39	0.00	0.00	0	0	Matches
24	Mukhtar Ali	sa KSA	MF	Al-Ettifaq	27	1997	21.4	1	19	5	26.3	0.89	0.23	0.05	0.20	0	0	Matches
25	Nabil Alioui	fr FRA	MF,FW	Damac	26	1999	3.4	0	3	0	0.0	0.89	0.00	0.00		0	0	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
26	Mohammed Alkhaibari	sa KSA	DF	Al-Riyadh SC	23	2002	23.4	0	15	1	6.7	0.64	0.04	0.00	0.00	0	0	Matches
27	Gastón Álvarez	uy URU	DF	Al-Qadsiah	25	2000	27.7	0	10	1	10.0	0.36	0.04	0.00	0.00	0	0	Matches
28	Turki Al Ammar	sa KSA	MF	Al-Qadsiah	25	1999	6.7	2	15	5	33.3	2.25	0.75	0.13	0.40	0	0	Matches
29	Abdulelah Al-Amri	sa KSA	DF	Al-Nassr	28	1997	19.9	2	16	3	18.8	0.80	0.15	0.13	0.67	0	0	Matches
30	Saleh Al-Amri	sa KSA	MF	Al-Khaleej	31	1993	11.8	3	17	7	41.2	1.44	0.59	0.18	0.43	0	0	Matches
31	Abdullah Al Anazi	sa KSA	MF,FW	Al-Fateh	22	2003	9.9	1	18	9	50.0	1.82	0.91	0.06	0.11	0	0	Matches
32	Ahmed Al Anazi		FW	Neom			0.4	0	0	0		0.00	0.00			0	0	Matches
33	Dhari Al Anazi	sa KSA	DF,MF	Damac	25	2000	25.9	0	10	1	10.0	0.39	0.04	0.00	0.00	0	0	Matches
34	Ângelo	br BRA	MF	Al-Nassr	20	2004	22.1	4	31	16	51.6	1.40	0.72	0.13	0.25	0	0	Matches
35	Leandro Antunes	pt POR	FW,MF	Al-Riyadh SC	28	1997	13.8	7	67	28	41.8	4.84	2.02	0.10	0.25	0	0	Matches
36	Sultan Al Anze		DF	Al-Shabab			1.5	0	0	0		0.00	0.00			0	0	Matches
37	Abdulrahman Al Anzi	sa KSA	DF	Al-Fayha	27	1998	1.1	0	0	0		0.00	0.00			0	0	Matches
38	Houssem Aouar	dz ALG	MF,FW	Al-Ittihad	27	1998	21.0	8	46	16	34.8	2.19	0.76	0.17	0.50	0	0	Matches
39	Nawaf Al Aqidi	sa KSA	GK	Al-Nassr	25	2000	10.7	0	0	0		0.00	0.00			0	0	Matches
40	Arielson	br BRA	FW	Damac	20	2004	7.0	1	10	4	40.0	1.43	0.57	0.10	0.25	0	0	Matches
41	Khaled Al Asbahi	ye YEM	MF	Al-Riyadh SC	22	2003	0.7	0	2	0	0.0	2.81	0.00	0.00		0	0	Matches
42	Ibrahim Ashi		DF,MF	Al Okhdood SC			5.2	0	1	0	0.0	0.19	0.00	0.00		0	0	Matches
43	Naif Asiri	sa KSA	DF	Al Okhdood SC	24	2001	13.9	1	2	1	50.0	0.14	0.07	0.50	1.00	0	0	Matches
44	Ali Al Asmari	sa KSA	MF	Neom	28	1997	7.0	0	5	2	40.0	0.72	0.29	0.00	0.00	0	0	Matches
45	Ali Al Asmari	sa KSA	MF	Al-Shabab	28	1997	8.3	0	14	2	14.3	1.69	0.24	0.00	0.00	0	0	Matches
46	Hassan Al Asmari	sa KSA	DF	Al Kholood Saudi Club	22	2002	4.5	0	2	0	0.0	0.45	0.00	0.00		0	0	Matches
47	Ahmed Assiri	sa KSA	DF	Al-Khaleej	33	1991	12.1	0	6	1	16.7	0.50	0.08	0.00	0.00	0	0	Matches
48	Valentin Atangana Edoa	fr FRA	MF	Al-Ahli	19	2005	20.9	5	17	6	35.3	0.81	0.29	0.29	0.83	0	0	Matches
49	Abdulquddus Atiah	sa KSA	GK	Al-Taawoun	28	1997	1.0	0	0	0		0.00	0.00			0	0	Matches
50	Abdulrazaq Awaji	sa KSA	FW	Al-Hazem	17	2007	0.1	0	0	0		0.00	0.00			0	0	Matches
