Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,xG,npxG,xAG,source_file
1,Malek Al Abadalmanam,sa KSA,MF,Al-Fayha,27.0,1998.0,0.4,0,0,0,,0.0,0.0,,,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
2,Saleh Al Abbas,sa KSA,FW,Al Okhdood SC,31.0,1993.0,7.7,1,9,2,22.2,1.17,0.26,0.11,0.5,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
3,Faris Abdi,sa KSA,DF,Neom,26.0,1999.0,27.5,0,6,5,83.3,0.22,0.18,0.0,0.0,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
4,Ali Abdoulraouf,,MF,Al-Khaleej,,,1.4,0,2,1,50.0,1.45,0.73,0.0,0.0,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
5,Ahmed Abdu,sa KSA,FW,Neom,28.0,1996.0,4.7,1,13,3,23.1,2.77,0.64,0.08,0.33,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
6,Hayder Abdulkareem,iq IRQ,MF,Al-Nassr,20.0,2004.0,0.1,0,1,0,0.0,11.25,0.0,0.0,,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
7,Majed Abdullah,sa KSA,FW,Al-Shabab,19.0,2006.0,1.3,0,5,1,20.0,3.91,0.78,0.0,0.0,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
8,Salem Abdullah,sa KSA,FW,Al-Ahli,17.0,2008.0,0.3,0,0,0,,0.0,0.0,,,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
9,Mohamed Abdulrahman,sa KSA,"DF,MF",Al-Ahli,22.0,2003.0,9.4,0,9,1,11.1,0.96,0.11,0.0,0.0,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
10,Fahad Al Abdulraziq,sa KSA,"DF,MF",Al-Najma,25.0,2000.0,8.4,0,1,0,0.0,0.12,0.0,0.0,,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
11,Faisal Al Abdulwahed,sa KSA,FW,Al-Fateh,20.0,2004.0,0.5,0,1,0,0.0,1.91,0.0,0.0,,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
12,Abdulrahman Al-Aboud,sa KSA,MF,Al-Ittihad,30.0,1995.0,6.0,1,12,4,33.3,2.01,0.67,0.08,0.25,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
13,Khalil Al Absi,sa KSA,MF,Al-Riyadh SC,24.0,2001.0,7.4,1,9,4,44.4,1.22,0.54,0.11,0.25,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
14,Mohammed Al Absi,sa KSA,GK,Al-Ittihad,22.0,2002.0,3.4,0,0,0,,0.0,0.0,,,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
15,Mohammed Abu Abd,sa KSA,"DF,MF",Al Okhdood SC,23.0,2002.0,20.2,0,2,0,0.0,0.1,0.0,0.0,,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
16,Abdulfattah Adam,sa KSA,FW,Al-Taawoun,30.0,1995.0,2.2,0,7,0,0.0,3.17,0.0,0.0,,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
17,Yacine Adli,fr FRA,MF,Al-Shabab,25.0,2000.0,23.5,1,25,11,44.0,1.06,0.47,0.04,0.09,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
18,Waleed Al Ahmad,sa KSA,DF,Al-Qadsiah,26.0,1999.0,3.9,1,6,2,33.3,1.53,0.51,0.17,0.5,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
19,Waleed Al Ahmad,sa KSA,DF,Al-Taawoun,26.0,1999.0,14.7,4,14,4,28.6,0.95,0.27,0.29,1.0,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
20,Abdullah Al Ajian,sa KSA,FW,Al Kholood Saudi Club,20.0,2004.0,0.1,0,0,0,,0.0,0.0,,,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
21,Yusuf Akçiçek,tr TUR,DF,Al-Hilal,19.0,2006.0,6.9,0,1,0,0.0,0.15,0.0,0.0,,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
22,Mishal Al Alaeli,sa KSA,"DF,MF",Al-Taawoun,21.0,2004.0,5.5,0,5,1,20.0,0.91,0.18,0.0,0.0,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
23,Hassan Al Ali,sa KSA,MF,Neom,23.0,2002.0,5.2,0,7,2,28.6,1.35,0.39,0.0,0.0,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
24,Mukhtar Ali,sa KSA,MF,Al-Ettifaq,27.0,1997.0,21.4,1,19,5,26.3,0.89,0.23,0.05,0.2,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
25,Nabil Alioui,fr FRA,"MF,FW",Damac,26.0,1999.0,3.4,0,3,0,0.0,0.89,0.0,0.0,,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
26,Mohammed Alkhaibari,sa KSA,DF,Al-Riyadh SC,23.0,2002.0,23.4,0,15,1,6.7,0.64,0.04,0.0,0.0,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
27,Gastón Álvarez,uy URU,DF,Al-Qadsiah,25.0,2000.0,27.7,0,10,1,10.0,0.36,0.04,0.0,0.0,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
28,Turki Al Ammar,sa KSA,MF,Al-Qadsiah,25.0,1999.0,6.7,2,15,5,33.3,2.25,0.75,0.13,0.4,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
29,Abdulelah Al-Amri,sa KSA,DF,Al-Nassr,28.0,1997.0,19.9,2,16,3,18.8,0.8,0.15,0.13,0.67,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
30,Saleh Al-Amri,sa KSA,MF,Al-Khaleej,31.0,1993.0,11.8,3,17,7,41.2,1.44,0.59,0.18,0.43,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
31,Abdullah Al Anazi,sa KSA,"MF,FW",Al-Fateh,22.0,2003.0,9.9,1,18,9,50.0,1.82,0.91,0.06,0.11,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
32,Ahmed Al Anazi,,FW,Neom,,,0.4,0,0,0,,0.0,0.0,,,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
33,Dhari Al Anazi,sa KSA,"DF,MF",Damac,25.0,2000.0,25.9,0,10,1,10.0,0.39,0.04,0.0,0.0,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
34,Ângelo,br BRA,MF,Al-Nassr,20.0,2004.0,22.1,4,31,16,51.6,1.4,0.72,0.13,0.25,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
35,Leandro Antunes,pt POR,"FW,MF",Al-Riyadh SC,28.0,1997.0,13.8,7,67,28,41.8,4.84,2.02,0.1,0.25,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
36,Sultan Al Anze,,DF,Al-Shabab,,,1.5,0,0,0,,0.0,0.0,,,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
37,Abdulrahman Al Anzi,sa KSA,DF,Al-Fayha,27.0,1998.0,1.1,0,0,0,,0.0,0.0,,,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
38,Houssem Aouar,dz ALG,"MF,FW",Al-Ittihad,27.0,1998.0,21.0,8,46,16,34.8,2.19,0.76,0.17,0.5,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
39,Nawaf Al Aqidi,sa KSA,GK,Al-Nassr,25.0,2000.0,10.7,0,0,0,,0.0,0.0,,,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
40,Arielson,br BRA,FW,Damac,20.0,2004.0,7.0,1,10,4,40.0,1.43,0.57,0.1,0.25,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
41,Khaled Al Asbahi,ye YEM,MF,Al-Riyadh SC,22.0,2003.0,0.7,0,2,0,0.0,2.81,0.0,0.0,,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
42,Ibrahim Ashi,,"DF,MF",Al Okhdood SC,,,5.2,0,1,0,0.0,0.19,0.0,0.0,,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
43,Naif Asiri,sa KSA,DF,Al Okhdood SC,24.0,2001.0,13.9,1,2,1,50.0,0.14,0.07,0.5,1.0,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
44,Ali Al Asmari,sa KSA,MF,Neom,28.0,1997.0,7.0,0,5,2,40.0,0.72,0.29,0.0,0.0,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
45,Ali Al Asmari,sa KSA,MF,Al-Shabab,28.0,1997.0,8.3,0,14,2,14.3,1.69,0.24,0.0,0.0,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
46,Hassan Al Asmari,sa KSA,DF,Al Kholood Saudi Club,22.0,2002.0,4.5,0,2,0,0.0,0.45,0.0,0.0,,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
47,Ahmed Assiri,sa KSA,DF,Al-Khaleej,33.0,1991.0,12.1,0,6,1,16.7,0.5,0.08,0.0,0.0,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
48,Valentin Atangana Edoa,fr FRA,MF,Al-Ahli,19.0,2005.0,20.9,5,17,6,35.3,0.81,0.29,0.29,0.83,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
49,Abdulquddus Atiah,sa KSA,GK,Al-Taawoun,28.0,1997.0,1.0,0,0,0,,0.0,0.0,,,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
50,Abdulrazaq Awaji,sa KSA,FW,Al-Hazem,17.0,2007.0,0.1,0,0,0,,0.0,0.0,,,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
51,Abdulmalek Al Ayiri,sa KSA,"DF,MF",Neom,21.0,2003.0,11.0,1,10,2,20.0,0.91,0.18,0.1,0.5,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
52,Ali Azaizeh,jo JOR,"MF,FW",Al-Shabab,21.0,2004.0,7.0,2,12,4,33.3,1.72,0.57,0.17,0.5,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
53,Saeed Ba Atiyah,,"MF,DF",Al-Fateh,,,27.9,1,10,4,40.0,0.36,0.14,0.1,0.25,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
54,Aboubacar Bah,gn GUI,MF,Al-Hazem,19.0,2005.0,23.0,3,22,4,18.2,0.96,0.17,0.14,0.75,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
55,Hattan Bahebri,sa KSA,"MF,FW",Al Kholood Saudi Club,33.0,1992.0,24.7,5,32,13,40.6,1.29,0.53,0.16,0.38,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
56,Essam Bahri,sa KSA,DF,Al-Riyadh SC,20.0,2005.0,0.6,0,2,0,0.0,3.46,0.0,0.0,,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
57,Ahmed Bahusayn,sa KSA,MF,Al-Taawoun,24.0,2001.0,3.4,0,2,1,50.0,0.59,0.3,0.0,0.0,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
58,Ahmed Bamasud,sa KSA,DF,Al-Fayha,29.0,1995.0,30.9,0,8,1,12.5,0.26,0.03,0.0,0.0,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
59,Amadou Bamba,,MF,Al-Hazem,,,0.5,0,1,0,0.0,2.14,0.0,0.0,,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
60,Mohammed Al Baqawi,sa KSA,DF,Al-Fayha,30.0,1995.0,29.9,0,4,0,0.0,0.13,0.0,0.0,,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
61,Ibrahim Barabaa,,MF,Al Kholood Saudi Club,,,0.1,0,0,0,,0.0,0.0,,,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
62,Yoann Barbet,fr FRA,DF,Al-Riyadh SC,32.0,1993.0,31.2,2,37,8,21.6,1.19,0.26,0.05,0.25,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
63,Mohammed Barnawi,sa KSA,DF,Al-Ittihad,19.0,2005.0,0.3,0,0,0,,0.0,0.0,,,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
64,Musa Barrow,gm GAM,FW,Al-Taawoun,26.0,1998.0,4.4,3,11,6,54.5,2.51,1.37,0.27,0.5,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
65,Christian Bassogog,cm CMR,"MF,FW",Al Okhdood SC,29.0,1995.0,24.8,4,32,12,37.5,1.29,0.48,0.06,0.17,2,2,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
66,Mourad Batna,ma MAR,"FW,MF",Al-Fateh,35.0,1990.0,26.5,9,89,39,43.8,3.36,1.47,0.04,0.1,5,7,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
