Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_1,Ast_1,G+A_1,G-PK_1,G+A-PK,Matches,xG,npxG,xAG,Sh,source_file
1,Malek Al Abadalmanam,sa KSA,MF,Al-Fayha,27.0,1998.0,7,0,37,0.4,0,1,1,0,0,0,0,0,0.0,2.43,2.43,0.0,2.43,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
2,Saleh Al Abbas,sa KSA,FW,Al Okhdood SC,31.0,1993.0,20,6,691,7.7,1,1,2,1,0,0,2,1,0.13,0.13,0.26,0.13,0.26,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
3,Faris Abdi,sa KSA,DF,Neom,26.0,1999.0,33,27,2473,27.5,0,2,2,0,0,0,7,0,0.0,0.07,0.07,0.0,0.07,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
4,Ali Abdoulraouf,,MF,Al-Khaleej,,,5,1,124,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
5,Ahmed Abdu,sa KSA,FW,Neom,28.0,1996.0,19,2,423,4.7,1,0,1,1,0,0,1,0,0.21,0.0,0.21,0.21,0.21,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
6,Hayder Abdulkareem,iq IRQ,MF,Al-Nassr,20.0,2004.0,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
7,Majed Abdullah,sa KSA,FW,Al-Shabab,19.0,2006.0,9,0,115,1.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
8,Salem Abdullah,sa KSA,FW,Al-Ahli,17.0,2008.0,3,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
9,Mohamed Abdulrahman,sa KSA,"DF,MF",Al-Ahli,22.0,2003.0,24,7,843,9.4,0,1,1,0,0,0,3,0,0.0,0.11,0.11,0.0,0.11,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
10,Fahad Al Abdulraziq,sa KSA,"DF,MF",Al-Najma,25.0,2000.0,13,9,757,8.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
11,Faisal Al Abdulwahed,sa KSA,FW,Al-Fateh,20.0,2004.0,4,0,47,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
